_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
681457159,FALSE,finalized,3,2/25/15 9:05,negative,1,Flight Booking Problems,0.6631,Delta,,Marty_H,,0,@JetBlue they booked me for tomorrow. It's $250 higher. My 1st reservation is PGFRYZ. Get me on standby list 4 tonight would help.,,2/24/15 10:57,5.70296E+17,,Eastern Time (US & Canada)
681457160,FALSE,finalized,3,2/25/15 2:11,neutral,1,,,Delta,,johnfmartin67,,0,"@JetBlue Submitted, hoping for quick decision, tied to another donation we just received:
Proposal- 27th Annual Gala
Org- Boundless Readers",,2/24/15 10:56,5.70296E+17,Chicago,Newfoundland
681457161,TRUE,golden,223,,negative,1,Cancelled Flight,1,Delta,negative,Marty_H,Cancelled Flight,0,@JetBlue but by Cancelled Flighting my flight and pushing me to the next day I'd lose $150 hotel which was why I was trying to get a same-day flight.,,2/24/15 10:52,5.70295E+17,,Eastern Time (US & Canada)
681457163,FALSE,finalized,3,2/25/15 8:28,positive,0.6994,,,Delta,,Sujecuevas19,,0,@JetBlue thank you for the information.,,2/24/15 10:49,5.70294E+17,,Athens
681457164,FALSE,finalized,3,2/25/15 7:11,neutral,0.649,,0,Delta,,idk_but_youtube,,0,@JetBlue did you know that suicide is the second leading cause of death among teens 10-24,,2/24/15 10:46,5.70294E+17,1/1 loner squad,Eastern Time (US & Canada)
681457166,FALSE,finalized,3,2/25/15 0:48,neutral,1,,,Delta,,Sujecuevas19,,0,@JetBlue Ok and in Dominican Republic what numbers?,,2/24/15 10:46,5.70294E+17,,Athens
681457168,FALSE,finalized,3,2/25/15 10:10,negative,0.6634,Flight Booking Problems,0.6634,Delta,,tahlia_simpson,,0,@JetBlue ive tried on my phone and laptop :(,,2/24/15 10:41,5.70292E+17,,
681457169,FALSE,finalized,3,2/25/15 3:56,negative,1,Cancelled Flight,1,Delta,,Marty_H,,0,@JetBlue Cancelled Flighted my flight. Went with another airline 2 leave 2day. They Cancelled Flighted also. Called JetBlue &amp; got same flight but now $250 more_ЩФј,,2/24/15 10:40,5.70292E+17,,Eastern Time (US & Canada)
681457171,FALSE,finalized,3,2/25/15 2:49,neutral,0.6638,,,Delta,,muneca641,,0,@JetBlue sale please soon?? I need a tan,,2/24/15 10:39,5.70292E+17,,Quito
681457173,FALSE,finalized,3,2/25/15 7:27,neutral,0.6364,,,Delta,,theREAL_Tiffany,,0,@JetBlue Yeah I have! I'm on it!! Looking for specific dates - I will just keep checking daily for a fare drop,,2/24/15 10:39,5.70292E+17,Somewhere eating swine...,Eastern Time (US & Canada)
681457175,FALSE,finalized,3,2/25/15 7:32,neutral,1,,,Delta,,Sujecuevas19,,0,"@JetBlue Hello Good afternoon how are you, I need know how much flying for summer from june 13th.",,2/24/15 10:38,5.70292E+17,,Athens
681457177,FALSE,finalized,3,2/25/15 1:51,negative,1,Flight Booking Problems,0.6833,Delta,,tahlia_simpson,,0,@JetBlue just wondering if the website is having issues today. Trying to book a flight with my visa I always use and its rejecting it.,,2/24/15 10:38,5.70292E+17,,
681457178,FALSE,finalized,3,2/25/15 9:59,negative,1,Late Flight,0.6647,Delta,,miss_caitb,,0,"@JetBlue upset with the lack of communication we've received for our ""on time"" flight 1170 out of MCO",,2/24/15 10:37,5.70291E+17,,Central Time (US & Canada)
681457180,FALSE,finalized,3,2/25/15 4:14,neutral,0.6266,,0,Delta,,theREAL_Tiffany,,0,@JetBlue Not for the dates or destination I'm headed _ЩчУ,,2/24/15 10:36,5.70291E+17,Somewhere eating swine...,Eastern Time (US & Canada)
681457181,FALSE,finalized,3,2/25/15 2:30,negative,1,Customer Service Issue,1,Delta,,_carolion,,0,"@JetBlue I've spent three hours talking to all different people, most of which couldn't help. I probably won't be using JetBlue again.",,2/24/15 10:30,5.7029E+17,,Quito
681457183,FALSE,finalized,3,2/25/15 8:23,positive,1,,,Delta,,MmmRubin,,0,@JetBlue great.,,2/24/15 10:29,5.7029E+17,,Eastern Time (US & Canada)
681457185,FALSE,finalized,3,2/25/15 2:45,positive,0.6551,,,Delta,,Fendog75,,0,@JetBlue thanks great recap. I wouldn't have been able to sleep!  I was nervous the bad guy was getting away. _Щчд,,2/24/15 10:27,5.70289E+17,Canton MA,Eastern Time (US & Canada)
681457187,FALSE,finalized,3,2/25/15 1:54,neutral,1,,,Delta,,DaniP0915,,0,"@JetBlue flying w/ infant for the 1st time, can I bring a canister of powder formula for a carry on and/or use my plastic formula divider?",,2/24/15 10:23,5.70288E+17,"МПT: 40.907502,-73.85468",Quito
681457189,FALSE,finalized,3,2/25/15 4:32,positive,1,,,Delta,,MmmRubin,,0,@JetBlue flight 117. proud to fly Jet Blue!,,2/24/15 10:22,5.70288E+17,,Eastern Time (US & Canada)
681457190,FALSE,finalized,3,2/25/15 3:35,positive,0.6673,,0,Delta,,lizgottbrecht,,0,"@JetBlue awesome, thanks! on hold now.",,2/24/15 10:22,5.70288E+17,"Boston, MA ",Eastern Time (US & Canada)
681457192,FALSE,finalized,3,2/25/15 4:21,neutral,0.6522,,,Delta,,_carolion,,0,"@JetBlue I'm not sure if you can do anything to help me with that, but if you can that'd be great.",,2/24/15 10:21,5.70287E+17,,Quito
681457193,FALSE,finalized,3,2/25/15 9:04,negative,1,Customer Service Issue,1,Delta,,_carolion,,0,@JetBlue I had to call back five times to get someone on the phone who knew what they were doing. By that time my getaway went up by $200.,,2/24/15 10:20,5.70287E+17,,Quito
681457195,FALSE,finalized,3,2/25/15 8:31,negative,1,Flight Booking Problems,0.6985,Delta,,cmcook,,0,@JetBlue Are there really no flights from the Bay Area to Chicago anymore? Lame. So lame.,,2/24/15 10:11,5.70285E+17,In Oakland; Hoosier at heart,Pacific Time (US & Canada)
681457197,FALSE,finalized,3,2/25/15 8:12,negative,1,Flight Booking Problems,0.6651,Delta,,lizgottbrecht,,0,"@JetBlue can't book a flight because of outdated, forced opt-in ""Verified by Visa"" nonsense. Help a girl out? I just want to get to @sxsw",,2/24/15 10:11,5.70285E+17,"Boston, MA ",Eastern Time (US & Canada)
681457200,FALSE,finalized,3,2/25/15 8:55,neutral,0.6526,,0,Delta,,Arevans87,,0,@JetBlue Stop trying to make #fleek happen! #PointsMe,,2/24/15 9:55,5.70281E+17,,
681457202,FALSE,finalized,3,2/25/15 4:59,negative,1,Customer Service Issue,0.663,Delta,,YvonneTrimble,,0,@JetBlue luggage fees? won't b flying JB again! at least #AA gives platinum pass 2 bags! tired of overchging bg herded like cattle2slaughter,,2/24/15 9:55,5.70281E+17,"Port au Prince, Haiti",Eastern Time (US & Canada)
681457204,FALSE,finalized,3,2/25/15 1:31,positive,0.3474,,0,Delta,,AndrewGresenz,,0,"@JetBlue what are the chances of actually flying out of Charleston today?? Cold, rainy weather in the south of all places...",,2/24/15 9:55,5.70281E+17,"Stoughton, MA",Eastern Time (US & Canada)
681457206,FALSE,finalized,3,2/25/15 0:53,positive,0.6875,,,Delta,,MattHaze,,0,@JetBlue I did see that! Working on picking up a trip or two as we type.,,2/24/15 9:52,5.7028E+17,New York-ish + Airport Bars,Eastern Time (US & Canada)
681457207,FALSE,finalized,3,2/25/15 4:16,negative,0.6747,Can't Tell,0.6747,Delta,,ch00bee,,0,@JetBlue it's poop and barely works,,2/24/15 9:51,5.7028E+17,,Atlantic Time (Canada)
681457209,FALSE,finalized,3,2/25/15 1:45,positive,1,,,Delta,,leezbtv,,0,@JetBlue Thanks for the quick reply! Just wanted to make sure it wasn't just my account :),,2/24/15 9:46,5.70279E+17,Seattle,Pacific Time (US & Canada)
681457211,FALSE,finalized,3,2/25/15 3:22,negative,1,Bad Flight,0.6842,Delta,,ch00bee,,0,@JetBlue your wifi is a lie and i hate you,,2/24/15 9:43,5.70278E+17,,Atlantic Time (Canada)
681457212,FALSE,finalized,3,2/25/15 3:38,negative,0.657,Flight Booking Problems,0.348,Delta,,BethRunsDisney,,0,@JetBlue Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(,,2/24/15 9:41,5.70277E+17,NYC,Eastern Time (US & Canada)
681457214,FALSE,finalized,3,2/25/15 9:42,negative,1,Can't Tell,1,Delta,,leezbtv,,0,"@jetblue having trouble signing in to TrueBlue today, despite right credentials. getting ""We are not able to sign you in"" msg.",,2/24/15 9:40,5.70277E+17,Seattle,Pacific Time (US & Canada)
681457215,FALSE,finalized,3,2/25/15 8:21,positive,1,,,Delta,,Sanr1ck,,0,@JetBlue wouldn't mind paying for the snacks but no $ for tix :-) Great job guys!,,2/24/15 9:39,5.70277E+17,US,Eastern Time (US & Canada)
681457217,FALSE,finalized,3,2/25/15 2:13,neutral,0.643,,0,Delta,,markmacg1,,0,@JetBlue flight 462 to Boston delayed due to weather in Tampa?,,2/24/15 9:25,5.70273E+17,,
681457219,FALSE,finalized,3,2/25/15 2:25,neutral,1,,,Delta,,terrybrokebad,,0,"More like BaeJet Airways, amirite?

‰ЫП@JetBlue: @terrybrokebad Right back at ya!‰Ыќ",,2/24/15 9:04,5.70268E+17,"Newcastle, Uk",Casablanca
681457220,FALSE,finalized,3,2/25/15 8:05,neutral,1,,,Delta,,b_econ,,0,@JetBlue are @AskAmex Amex Plat holders provided access or a credit in the Airspace Lounge in JKF?,,2/24/15 9:02,5.70268E+17,,
681457222,FALSE,finalized,3,2/25/15 6:45,neutral,1,,,Delta,,peterfransson,,0,"@JetBlue many thanks, as always your employees are professional and courteous. Whenever I have the option, you are my go-to airlines.",,2/24/15 9:02,5.70268E+17,Inter/Outer-Continental U.S.,Eastern Time (US & Canada)
681457223,FALSE,finalized,3,2/25/15 5:00,neutral,0.6875,,,Delta,,JasonBXNY0619,,0,@JetBlue Come on and provide service from Destin- Fort Walton Beach Airport,"[0.0, 0.0]",2/24/15 9:01,5.70267E+17," Bronx, NY / Destin, Fl",Santiago
681457225,FALSE,finalized,3,2/25/15 6:23,negative,1,Customer Service Issue,1,Delta,,heyheyman,,0,@JetBlue I appreciate the credit for my troubles but the lack of personal response troubles me.,,2/24/15 8:55,5.70266E+17,"Boston, MA",Eastern Time (US & Canada)
681457227,FALSE,finalized,3,2/25/15 5:56,neutral,0.6596,,,Delta,,terrybrokebad,,0,"@CatfoodBeerGlue you'll enjoy this. 

‰ЫП@JetBlue: Our fleet's on fleek. http://t.co/2thC9RKURT‰Ыќ",,2/24/15 8:50,5.70265E+17,"Newcastle, Uk",Casablanca
681457228,FALSE,finalized,3,2/25/15 2:12,neutral,1,,,Delta,,tumblehawk,,0,@JetBlue yer deals never seem to include NYC--&gt;PDX or NYC--&gt;PGH...wish they did!,,2/24/15 8:48,5.70264E+17,"brooklyn, ny, us",
681457230,FALSE,finalized,3,2/25/15 9:28,neutral,1,,,Delta,,MyCustoAdvocate,,0,@JetBlue Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,,2/24/15 8:00,5.70252E+17,"Miami, New York, Boston",
681457232,FALSE,finalized,3,2/25/15 5:57,neutral,0.6609,,,Delta,,Kristenrx5150,,0,@JetBlue thank you! Headed from LBC to OAK !,,2/24/15 7:59,5.70252E+17,anaheim,
681457233,FALSE,finalized,3,2/25/15 6:26,positive,1,,,Delta,,Kristenrx5150,,0,@JetBlue here you go... Your napkins pretty much say it all! http://t.co/OxY1Jnpjm3,,2/24/15 7:57,5.70251E+17,anaheim,
681457234,FALSE,finalized,3,2/25/15 2:24,neutral,1,,,Delta,,butimvikki,,0,‰ЫП@JetBlue: Our fleet's on fleek. http://t.co/b5ttno68xu‰Ыќ I just _ЩЄц,,2/24/15 7:47,5.70249E+17,D{M}V,Quito
681457236,FALSE,finalized,3,2/25/15 8:20,positive,1,,,Delta,,Ruth_Slobodin,,0,"‰ЫП@JetBlue: @Ruth_Slobodin Why not? We'd sure love to see you, Ruth! #JustDoIt #YouKnowYouWantTo ;)‰Ыќ you know me too well _ЩХч",,2/24/15 7:38,5.70246E+17,,Atlantic Time (Canada)
681457238,FALSE,finalized,3,2/25/15 8:24,neutral,0.6454,,,Delta,,NENAFL,,0,"@JetBlue ""Do what you love and you'll never work a day in your life."" _Щч_",,2/24/15 7:37,5.70246E+17,,Eastern Time (US & Canada)
681457239,FALSE,finalized,3,2/25/15 6:31,neutral,0.6667,,0,Delta,,ArdensMommy,,0,"@JetBlue It drops 75 when i take off the other two people, and vice versa. back and forth.",,2/24/15 7:35,5.70246E+17,MA,Quito
681457241,FALSE,finalized,3,2/25/15 6:18,positive,0.6429,,0,Delta,,PaulParz,,0,"@JetBlue you don't need to cut services, charge more and give a better flying experience. That's why I use jet blue in the first place",,2/24/15 7:32,5.70245E+17,,
681457243,FALSE,finalized,3,2/25/15 8:56,positive,0.6578,,,Delta,,gabs_tweets,,0,@JetBlue Longing to look into the blue eyes. #firstlove,,2/24/15 7:28,5.70244E+17,,Eastern Time (US & Canada)
681457245,FALSE,finalized,3,2/25/15 3:15,positive,1,,,Delta,,jdlessard13,,0,@JetBlue you all are the best #flyfi # ondemand #leatherseats #hipunis #legroom,,2/24/15 7:23,5.70243E+17,,
681457246,FALSE,finalized,3,2/25/15 2:16,neutral,1,,,Delta,,blckblakelively,,0,Sigh... ‰ЫП@JetBlue: Our fleet's on fleek. http://t.co/W5NL0AY9Bl‰Ыќ,,2/24/15 7:13,5.7024E+17,where the Bulls/Bears play.,Central Time (US & Canada)
681457248,FALSE,finalized,3,2/25/15 3:44,neutral,0.6765,,,Delta,,E_Nice718,,0,@JetBlue  please start flying to Guyana soon,"[40.70326657, -74.01106458]",2/24/15 7:13,5.7024E+17,N 40еЎ39' 0'' / W 73еЎ55' 0'',Eastern Time (US & Canada)
681457251,FALSE,finalized,3,2/25/15 6:24,neutral,0.6623,,0,Delta,,BlackeyeBandit,,0,@JetBlue just leave certain things to the kids.,,2/24/15 7:10,5.70239E+17,l be where l'm at,London
681457252,FALSE,finalized,3,2/25/15 5:22,positive,1,,,Delta,,nokidhungry,,0,"@eatgregeat WOW~Thx for thinking of us, Greg! Heard #SOBEWFF was amazing! We've heard the same about @JetBlue (ps thx for the info) #TeamNKH",,2/24/15 7:10,5.70239E+17,"Washington, DC",Eastern Time (US & Canada)
681457254,FALSE,finalized,3,2/25/15 4:25,positive,1,,,Delta,,lalunkee,,0,"@JetBlue Annnndddd, I just booked my flight. That was easy.",,2/24/15 7:08,5.70239E+17,All over ...,Eastern Time (US & Canada)
681457256,FALSE,finalized,3,2/25/15 7:51,negative,0.6796,Customer Service Issue,0.6796,Delta,,JME23,,0,@JetBlue Thank you for credits. However; I submitted complaints about the property on vacation package. Hope you listen!,,2/24/15 7:05,5.70238E+17,Citizen of the world dahhhling,Eastern Time (US & Canada)
681457257,FALSE,finalized,3,2/25/15 9:15,neutral,1,,,Delta,,_blktray,,0,‰ЫП@JetBlue: Our fleet's on fleek. http://t.co/clu5pdPrHP‰Ыќ :(,,2/24/15 7:02,5.70237E+17,COMPTON/AZ,
681457259,FALSE,finalized,3,2/25/15 2:39,positive,0.6848,,,Delta,,lalunkee,,0,@JetBlue Thank you very much!,,2/24/15 7:02,5.70237E+17,All over ...,Eastern Time (US & Canada)
681457261,FALSE,finalized,3,2/25/15 1:28,negative,1,Flight Booking Problems,1,Delta,,lalunkee,,0,@JetBlue Need your help. I'm moving to DC &amp; I want to book a one way fare on your website. It won't seem to let me. Am I missing something?,,2/24/15 6:54,5.70235E+17,All over ...,Eastern Time (US & Canada)
681457262,FALSE,finalized,3,2/25/15 9:54,positive,1,,,Delta,,eatgregeat,,0,@JetBlue it will be glowing. Your crew and your aircraft sparkled. You guys know about @nokidhungry right? Might be a good partnership:),"[34.02763089, -118.49627894]",2/24/15 6:48,5.70234E+17,,Eastern Time (US & Canada)
681457264,FALSE,finalized,3,2/25/15 3:06,neutral,0.6703,,0,Delta,,scojjac,,0,"@JetBlue @JetBlueCheeps My friend bought a ticket last night for one of these routes from you, and it cost way more. Can you help?‰Ыќ",,2/24/15 6:46,5.70233E+17,"Las Cruces, NM",Mountain Time (US & Canada)
681457266,FALSE,finalized,3,2/25/15 6:17,neutral,0.6667,,,Delta,,eatgregeat,,0,@JetBlue I was returning from @FoodNetwork #SOBEWFF so I had limited carry on space in my tummy. Next flight I'll try that snack!,"[34.02761838, -118.49646336]",2/24/15 6:43,5.70233E+17,,Eastern Time (US & Canada)
681457267,FALSE,finalized,3,2/25/15 5:44,positive,0.6768,,,Delta,,NBucketTV,,0,@JetBlue glad you like it. Feel free to steal it.,,2/24/15 6:43,5.70233E+17,"Boston, MA",Eastern Time (US & Canada)
681457269,FALSE,finalized,3,2/25/15 7:28,positive,0.6803,,0,Delta,,eatgregeat,,0,@JetBlue your blue helped bring out the color of my eyes. And I promise I didn't eat all the free snacks.,"[34.02764112, -118.49636416]",2/24/15 6:40,5.70232E+17,,Eastern Time (US & Canada)
681457271,FALSE,finalized,3,2/25/15 5:51,positive,1,,,Delta,,nolimitlove,,0,@JetBlue thanks to you customers like me stay loyal. From check in to landing.,,2/24/15 6:32,5.7023E+17,,America/New_York
681457272,FALSE,finalized,3,2/25/15 2:46,positive,0.7067,,,Delta,,NBucketTV,,0,@JetBlue A320 pulling into the gate as the sunrises here at @BostonLogan this morning #jetbluesofly #jetblue #airbus http://t.co/JGdu5us8Dz,,2/24/15 6:24,5.70228E+17,"Boston, MA",Eastern Time (US & Canada)
681457274,FALSE,finalized,3,2/25/15 8:29,positive,0.6606,,,Delta,,texdoh,,0,@JetBlue Thx for the quick response .... yep I tried- but it can't find the flight when I Input the Confirmation #,,2/24/15 6:22,5.70227E+17,"iPhone: 40.955353,-73.813942",Central Time (US & Canada)
681457276,FALSE,finalized,3,2/25/15 2:08,positive,0.6667,,,Delta,,JohnJJSmith,,0,@JetBlue Wish Everyone felt like you,,2/24/15 6:18,5.70226E+17,"NY,NY",
681457277,FALSE,finalized,3,2/25/15 3:40,positive,1,,,Delta,,thedaniburden,,0,@JetBlue sounds great! Thank you!! :),,2/24/15 6:17,5.70226E+17,"Buffalo, New York",Quito
681457279,FALSE,finalized,3,2/25/15 5:43,negative,1,Customer Service Issue,0.6524,Delta,,tonetone28,,0,"@JetBlue 's Once upon a sale that does not include BTV, as usual!  #jetbluehatesbtv",,2/24/15 6:15,5.70225E+17,Vermont,Atlantic Time (Canada)
681457281,FALSE,finalized,3,2/25/15 1:26,negative,1,Customer Service Issue,1,Delta,,texdoh,,0,"@JetBlue can't link my flight from last week to my TruBlue account and 1800 num isn't answering..don't make me fly @Delta again, dont do it!",,2/24/15 6:13,5.70225E+17,"iPhone: 40.955353,-73.813942",Central Time (US & Canada)
681457282,FALSE,finalized,3,2/25/15 7:47,positive,1,,,Delta,,JohnJJSmith,,0,@JetBlue Was nice to see your Veterans Advantage Program at the gate on Sunday @ MCO.Keep up the good work at  JetBlue,,2/24/15 6:04,5.70223E+17,"NY,NY",
681457283,FALSE,finalized,3,2/25/15 8:56,positive,1,,,Delta,,AStateOfSnark,,0,@JetBlue incredible PR team. _ЩФЏ_ЩФЏ_ЩФЏ_ЩФЏ,,2/24/15 5:58,5.70221E+17,Boston,Atlantic Time (Canada)
681457285,FALSE,finalized,3,2/25/15 6:10,positive,0.6316,,,Delta,,MikeSmithMedia,,0,@JetBlue Thanks. I'm finding lower fares already on other carriers with direct flights. July 8 - 13.,,2/24/15 5:47,5.70218E+17,New York/New Jersey,Eastern Time (US & Canada)
681457287,FALSE,finalized,3,2/25/15 7:18,negative,0.7029,Flight Attendant Complaints,0.3619,Delta,,MaryCallaRowan,,0,"@JetBlue if you can get us on a flight to Vieques all will be good. Right now, not looking promising.",,2/24/15 5:44,5.70218E+17,,
681457288,FALSE,finalized,3,2/25/15 3:30,negative,0.667,Lost Luggage,0.3335,Delta,,elias_rubin,,0,@JetBlue I just DM'd you!,,2/24/15 5:35,5.70215E+17,"New York, NY",Pacific Time (US & Canada)
681457290,FALSE,finalized,3,2/25/15 1:47,neutral,0.6439,,,Delta,,sflcn,,1,@JetBlue Offering Special Fares to @GoPureGrenada @discovergrenada http://t.co/MBcEhCSZX3 @CaribbeJan @islandexpert http://t.co/2Zm4jkAlZl,,2/24/15 5:28,5.70214E+17,South Florida,Eastern Time (US & Canada)
681457292,FALSE,finalized,3,2/25/15 9:24,neutral,1,,,Delta,,elias_rubin,,0,@JetBlue I believe that the website said I could receive credit for upcoming flights since I Cancelled Flighted my last one. Is this true?,,2/24/15 5:22,5.70212E+17,"New York, NY",Pacific Time (US & Canada)
681457295,FALSE,finalized,3,2/25/15 2:37,neutral,1,,,Delta,,elias_rubin,,0,@JetBlue A month ago I had a flight booked but then had to Cancelled Flight it... I'm now Flight Booking Problems a separate flight for a different occasion.,,2/24/15 5:22,5.70212E+17,"New York, NY",Pacific Time (US & Canada)
681457296,FALSE,finalized,3,2/25/15 1:32,neutral,1,,,Delta,,elias_rubin,,0,@JetBlue hi friend! Question for you when you have a moment.,,2/24/15 5:17,5.70211E+17,"New York, NY",Pacific Time (US & Canada)
681457298,FALSE,finalized,3,2/25/15 3:26,positive,0.6811,,,Delta,,jannasaurusrex,,0,"‰ЫП@JetBlue: @jannasaurusrex Thanks for the kind words, Janna! #WeAppreciateYou #TrueBlue‰Ыќ and now I'M feeling like a boss #jetbluefame",,2/24/15 5:06,5.70208E+17,central mass,
681457300,FALSE,finalized,3,2/25/15 7:20,positive,0.6633,,,Delta,,jannasaurusrex,,0,@JetBlue boarding the back of the airplane first. Like a boss. #sosmart #jetblue #frequentflyerappreciates #alsoyayforsnacks,,2/24/15 4:58,5.70206E+17,central mass,
681457302,FALSE,finalized,3,2/25/15 9:05,positive,0.7012,,,Delta,,SarahEH255,,0,@JetBlue sooo earlier i said i couldnt fly with you for my school trip but now i can! _ЩчЏ,,2/24/15 4:51,5.70204E+17,,Eastern Time (US & Canada)
681457304,FALSE,finalized,3,2/25/15 6:32,negative,1,Late Flight,1,Delta,,Chewie240,,0,@JetBlue why was Flight 1856 delayed to Buffalo ?  It‰ЫЄs a direct flight and the plane is at the gate.,,2/24/15 4:36,5.70201E+17,Buffalo,Eastern Time (US & Canada)
681457305,FALSE,finalized,3,2/25/15 3:14,negative,1,Flight Booking Problems,0.3516,Delta,,MaryCallaRowan,,0,@JetBlue we are missing our connecting transportation in Puerto Rico as a result. Need to get to Vieques today.,,2/24/15 4:32,5.702E+17,,
681457307,FALSE,finalized,3,2/25/15 5:36,negative,1,Late Flight,1,Delta,,deniseimperial,,0,@JetBlue we were supposed to be Vieques by 3pm,,2/24/15 4:28,5.70199E+17,,Pacific Time (US & Canada)
681457309,FALSE,finalized,3,2/25/15 9:16,negative,1,Customer Service Issue,1,Delta,,MaryCallaRowan,,0,@JetBlue your customer service today was deplorable.  There were plenty of ways u could have gotten us on that flight. #badcustomerservice,,2/24/15 4:27,5.70198E+17,,
681457310,FALSE,finalized,3,2/25/15 7:58,negative,0.6669,Late Flight,0.6669,Delta,,deniseimperial,,0,"@JetBlue absolutely. The missed connection caused us to miss our ferry to Vieques. Get us to Vieques. Also, flight vouchers. #PRBound",,2/24/15 4:27,5.70198E+17,,Pacific Time (US & Canada)
681457312,FALSE,finalized,3,2/25/15 1:38,neutral,1,,,Delta,,geoffkeegan,,0,"@JetBlue Hi there, any rough idea of when January 2016 flights will be made available?",,2/24/15 4:22,5.70197E+17,,Eastern Time (US & Canada)
681457313,FALSE,finalized,3,2/25/15 8:50,negative,1,Can't Tell,0.6689,Delta,,PilotFresh,,0,@JetBlue why do this to me sending N598JB to UVF today and its a weekday why not a weekend :'(,,2/24/15 4:15,5.70195E+17,Dubai ,Central America
681457315,FALSE,finalized,3,2/25/15 7:18,positive,1,,,Delta,,brandyanncakes,,0,@JetBlue why are you always so amazing! #jetblue #trueblue http://t.co/iIMTJxcvLG,,2/24/15 4:14,5.70195E+17,boston ma,Atlantic Time (Canada)
681457317,FALSE,finalized,3,2/25/15 8:31,negative,0.6598,Customer Service Issue,0.6598,Delta,,deniseimperial,,0,"@JetBlue, I've experienced better service making connecting flight from @united and @AmericanAir #badcustomerservice #jfk #pr",,2/24/15 4:08,5.70193E+17,,Pacific Time (US & Canada)
681457318,FALSE,finalized,3,2/25/15 0:43,neutral,0.6667,,,Delta,,rkflyga,,2,@JetBlue now out of A gates and into main terminal @ DCA. @NATCA members keeping watch from ATCT. #avgeek http://t.co/hPsiEaokwh,,2/24/15 4:04,5.70192E+17,KFDK,Eastern Time (US & Canada)
681457320,FALSE,finalized,3,2/25/15 2:15,positive,0.678,,,Delta,,joahspearman,,0,@JetBlue great will do once I land in JFK,,2/24/15 3:56,5.7019E+17,Austin,Central Time (US & Canada)
